sample,date,upstream,downstream,difference
1,1/8/2008 11:15,2909,2359,550
2,2/4/2008 10:30,2382,3873,-1491
3,3/3/2008 10:48,2046,1725,321
4,4/8/2008 10:25,1483,771,712
5,5/9/2008 11:19,4611,1529,3082
6,6/9/2008 10:10,3448,2909,539
7,8/4/2008 10:30,4106,2014,2092
8,12/4/2008 13:40,2755,1872,883
9,12/9/2008 10:30,3448,2481,967
10,1/6/2009 11:06,2098,613.1,1484.9
11,2/19/2009 11:00,789,733,56
12,2/26/2009 11:30,988,960,28
13,3/12/2009 11:10,1187,833,354
14,3/24/2009 11:00,638,388,250
15,4/7/2009 10:06,2481,1421,1060
16,4/28/2009 10:20,2481,933,1548
17,5/4/2009 11:23,3654,1076,2578
18,5/19/2009 10:38,3130,1374,1756
19,6/10/2009 10:50,4611,1553,3058
20,6/23/2009 10:53,2755,1198,1557
21,7/7/2009 9:30,3076,1299.7,1776.3
